Name,Score,Stage,MVP,Date/ Time,"Pitch Number "
G-A: The Airbenders v Fire Nation 🔥 (8:30PM),0 - 0,Pitch 2 Group Stage,,"October 17, 2025 9:00 PM (GMT+5)",Pitch 2
G-B: Avatars vs JustDisc League (8:55PM),0 - 0,Pitch 2 Group Stage,,"October 17, 2025 8:30 PM (GMT+5)",Pitch 2
G-B: Anemone vs FRISBEASTS (8:55PM),0 - 0,Pitch 1 Group Stage,,"October 17, 2025 8:30 PM (GMT+5)",Pitch 1
G-A: TEG v The Airbenders (9:20PM),0 - 0,Pitch 1 Group Stage,,"October 17, 2025 8:00 PM (GMT+5)",Pitch 1
G-A: Dhunthari v Fire Nation 🔥 (9:20PM),0 - 0,Pitch 2 Group Stage,,"October 17, 2025 8:00 PM (GMT+5)",Pitch 2
G-B: Avatars vs Anemone (9:45PM),0 - 0,Pitch 2 Group Stage,,"October 17, 2025 9:30 PM (GMT+5)",Pitch 2
G-B: JustDisc League vs FRISBEASTS (9:45PM),0 - 0,Pitch 1 Group Stage,,"October 17, 2025 9:30 PM (GMT+5)",Pitch 1
G-A: TEG v Fire Nation (10:10PM),0 - 0,Pitch 1 Group Stage,,"October 17, 2025 10:00 PM (GMT+5)",Pitch 1
G-A: The Airbenders v Dhunthari (10:10PM),0 - 0,Pitch 2 Group Stage,,"October 17, 2025 10:00 PM (GMT+5)",Pitch 2
G-B: Avatars vs FRISBEASTS  (10:35PM),0 - 0,Pitch 2 Group Stage,,"October 17, 2025 8:30 PM (GMT+5)",Pitch 2
G-B: JustDisc League vs Anemone (10:35PM),0 - 0,Pitch 1 Group Stage,,"October 17, 2025 10:30 PM (GMT+5)",Pitch 1
SF 1: A1 v B2 (8:10PM),0 - 0,Semi Final,,"October 18, 2025 8:30 PM (GMT+5)",Pitch 1
SF 2: B1 v A2 (8:10PM),0 - 0,Semi Final,,"October 18, 2025 8:30 PM (GMT+5)",Pitch 2
Final Match (9:00PM),0 - 0,Final,,"October 17, 2025 9:00 PM (GMT+5)",Pitch 1